Datetime,PPO,DQN,EW,BH
2025-11-25 16:00:00,0.0030033457944764076,0.0030033457944764076,0.004883991630495937,0.004829558637485829
2025-11-25 16:30:00,0.003445369297363634,0.003445369297363634,0.005618185131547636,0.00556607189369465
2025-11-25 17:00:00,0.002616467641493476,0.002616467641493476,0.00774963929616194,0.00769719776865992
2025-11-25 17:30:00,0.0031227443010262783,0.0031227443010262783,0.007607466654605513,0.007555591284417004
2025-11-25 18:00:00,0.002063428299655095,0.002063428299655095,0.007747720325278333,0.007697447164761589
2025-11-25 18:30:00,0.002174077513797525,0.002174077513797525,0.007195310308869729,0.007146661515403432
2025-11-25 19:00:00,0.0017314915861887231,0.0017314915861887231,0.006179476144789375,0.006130703325449561
2025-11-25 19:30:00,0.00117796247048542,0.00117796247048542,0.006796770732441686,0.006748152048148466
2025-11-25 20:00:00,-0.0005952401681648472,-0.0005952401681648472,0.006844015163020727,0.006796299980669677
2025-11-25 20:30:00,0.00029179646572842206,0.00029179646572842206,0.007552727047479836,0.007505851258666915
2025-11-26 14:30:00,-0.002705089792069838,-0.002705089792069838,0.009253573085466187,0.009207134293301337
2025-11-26 15:00:00,1.4671492033652925e-05,1.4671492033652925e-05,0.011339764199746739,0.011291480300838876
2025-11-26 15:30:00,0.0007349354212886596,0.0007349354212886596,0.013326438092916424,0.01327854170586562
2025-11-26 16:00:00,0.001676186301593244,0.001676186301593244,0.014219223559410264,0.014173423114168821
2025-11-26 16:30:00,0.0020014729569390187,0.0020014729569390187,0.015246103955411802,0.015200171011007272
2025-11-26 17:00:00,0.0022293554014317057,0.0022293554014317057,0.015045181452174039,0.014998660212607037
2025-11-26 17:30:00,0.002816546350679983,0.002816546350679983,0.015196736835983372,0.015150525497828034
2025-11-26 18:00:00,0.002837547227024934,0.002837547227024934,0.01530886999906893,0.015262712649537052
2025-11-26 18:30:00,0.003721545406426343,0.003721545406426343,0.014815864050600178,0.014769368678110446
2025-11-26 19:00:00,0.0038054702852184227,0.0038054702852184227,0.01558296356684433,0.015536861391329863
2025-11-26 19:30:00,0.0037767377592383394,0.0037767377592383394,0.015076836064808401,0.01503106677024685
2025-11-26 20:00:00,0.0038320113231287093,0.0038320113231287093,0.015461780735457745,0.015416085121852012
2025-11-26 20:30:00,0.004715047037556867,0.004715047037556867,0.01454507741546493,0.014498102176315548
